投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
570998,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动起步时变速箱顿挫而且有异响,"B33,B19,",2021-02-07,信息审核
570989,上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能尊贵型,新宝骏RS-5刹车失灵 仪表盘上制动故障灯亮,"E29,E62,",2021-02-07,信息审核
570988,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞电瓶亏电导致发动机无法启动,"H146,",2021-02-07,信息审核
570986,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾侧标掉漆 刹车异响 减震异响,"E43,G52,H81,",2021-02-07,信息审核
570984,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL 4S店修出新问题服务承诺不兑现,"J300,L314,N316,",2021-02-07,信息审核
570982,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁方向盘卡顿 升级程序后变重,"D123,D156,O348,",2021-02-07,信息审核
570977,众泰汽车,众泰T600,2015款 1.5T 手动 旗舰型,众泰T600胎压传感器故障报警 押金不予退还	,"H203,K309,",2021-02-07,信息审核
570976,北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,北京现代索纳塔天窗异响维修未解决问题,"H89,",2021-02-07,信息审核
570974,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L四个轮毂有氧化的现象,"H243,",2021-02-07,信息审核
570969,郑州日产,途达,2018款 2.5L 自动 四驱 豪华版,郑州日产途达加速行驶时车身共振有异响,"H15,H268,",2021-02-07,信息审核
570965,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁中控台塑料件开裂 油箱异响,"E43,H168,H164,H147,",2021-02-07,信息审核
570963,华晨宝马,宝马5系,2018款 530Li 领先型 豪华套装 改款,华晨宝马5系前大灯开裂希望厂家质保,"H220,",2021-02-07,信息审核
570959,东风日产,启辰T70,2016款 2.0L CVT 睿趣版,启辰T70高速时转向卡顿希望厂家处理问题,"D123,",2021-02-07,信息审核
570952,上汽大众,途昂,2019款 530 V6 四驱 旗舰版 国VI,上汽大众途昂底盘平衡杆异响维修无配件,"N318,",2021-02-07,处理反馈
570944,上汽大众,途铠,2019款 1.5L 自动 舒适版,上汽大众途铠电瓶长期低电量报警,"H146,",2021-02-07,处理反馈
570943,奥迪（进口）,奥迪A5,2019款 Sportback 40 TFSI 时尚型,进口奥迪A5大灯有维修痕迹4S店销售问题车,"M284,",2021-02-07,信息审核
570939,北京奔驰,奔驰GLB,2020款 改款 GLB 200 时尚型,北京奔驰GLB未安装碳罐电磁阀阻尼器,"Q322,",2021-02-07,信息审核
570932,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8水泵损坏防冻液渗漏导致高温,"A191,A221,",2021-02-07,信息审核
570927,上汽大众,帕萨特新能源,2020款 430PHEV 混动豪华版 国VI,上汽大众帕萨特新能源发动机异响故障灯亮,"A9,A34,B19,",2021-02-07,处理反馈
570921,福田汽车,祥菱V,2018款 1.2L 半承载 3070轴距(厢车)4W12M1,福田祥菱V车厢无法锁止 手续不齐全,"H149,O353,",2021-02-07,信息审核
570920,东风日产,蓝鸟,2020款 1.6L CVT 智联智酷版,东风日产蓝鸟普利司通轮胎鼓包质量差,"F39,",2021-02-07,信息审核
570919,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱顿挫 油泵和后视镜异响,"B19,H78,H211,",2021-02-07,处理反馈
570916,中兴汽车,领主,2019款 2.5T 手动 四驱 乘用版 超豪华型 标双 柴油,中兴领主冬季时发动机启动困难希望厂家处理,"A44,",2021-02-07,信息审核
570915,广汽三菱,奕歌,2019款 1.5T CVT 两驱 信念版 国VI,广汽三菱奕歌行驶时天窗异响影响正常驾驶,"H89,",2021-02-07,厂家受理
570911,长安福特,福睿斯,2015款 1.5L 手动 时尚型,长安福特福睿斯主驾驶侧车窗升降失灵,"H67,",2021-02-07,处理反馈
570906,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾车钥匙亏电导致无法使用,"H119,",2021-02-07,处理反馈
570904,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客优科豪马轮胎鼓包起皮	,"F186,F39,",2021-02-07,信息审核
570903,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾副驾驶侧B柱出现异响,"H15,",2021-02-07,处理反馈
570885,奇瑞汽车,艾瑞泽GX,2018款 1.5T 手动 型色版,奇瑞艾瑞泽GX方向盘不正多次维修未解决,"D154,J298,",2021-02-07,信息审核
570883,一汽-大众奥迪,奥迪A4L,2015款 quattro 2.0T 双离合 个性运动型,一汽大众奥迪A4L变速箱变矩器异响严重,"B33,",2021-02-07,信息审核
